Bus;Dir;ID;Count;Time;Len;D0;D1;D2;D3;D4;D5;D6;D7;Period
CAN 1;In;0x201;61;342.9709;8;F1;08;41;00;0D;FF;EF;FF;0.1131
CAN 1;In;0x101;62;343.0830;8;A1;08;DC;04;18;FF;40;41;0.1129
CAN 1;In;0x201;62;343.0841;8;A1;08;B9;00;17;FF;F7;FF;0.1133
CAN 1;In;0x201;63;343.2215;8;61;08;D5;00;05;FF;EC;FF;0.1374
CAN 1;In;0x101;63;343.2217;8;61;08;08;05;C0;FF;90;40;0.1387
CAN 1;In;0x201;64;343.3116;8;51;08;C8;00;04;FF;F7;FF;0.0900
CAN 1;In;0x101;64;343.3272;8;51;08;10;05;54;FF;2C;41;0.1055
CAN 1;In;0x101;65;343.4141;8;31;08;2C;05;E0;FF;9C;40;0.0869
CAN 1;In;0x201;65;343.4148;8;31;08;FE;00;1F;FF;EC;FF;0.1033
CAN 1;In;0x101;66;343.5270;8;01;08;04;05;90;FF;40;41;0.1128
CAN 1;In;0x201;66;343.5277;8;01;08;8C;00;11;FF;E4;FF;0.1129
CAN 1;In;0x101;67;343.6400;8;F0;07;04;05;70;FF;B0;40;0.1130
CAN 1;In;0x201;67;343.6407;8;F0;07;79;00;0F;FF;EA;FF;0.1130
CAN 1;In;0x101;68;343.7530;8;E1;07;60;05;84;FF;88;40;0.1130
CAN 1;In;0x201;68;343.7537;8;E1;07;AA;00;1A;FF;F3;FF;0.1130
CAN 1;In;0x101;69;343.8660;8;E0;07;D4;05;64;FF;58;41;0.1130
CAN 1;In;0x201;69;343.8665;8;E0;07;93;00;1D;FF;08;00;0.1128
CAN 1;In;0x101;70;343.9789;8;F1;07;E4;04;88;FF;F4;40;0.1129
CAN 1;In;0x201;70;343.9797;8;F1;07;07;00;1C;FF;FB;FF;0.1132
CAN 1;In;0x101;71;344.0919;8;01;08;00;05;AC;FF;14;41;0.1130
CAN 1;In;0x201;71;344.0924;8;01;08;0B;01;28;FF;EF;FF;0.1127
CAN 1;In;0x101;72;344.2048;8;E1;07;E4;04;AC;FF;B4;40;0.1129
CAN 1;In;0x201;72;344.2056;8;E1;07;25;00;15;FF;EA;FF;0.1132
CAN 1;In;0x101;73;344.3178;8;D0;07;3C;05;18;FF;AC;40;0.1130
CAN 1;In;0x201;73;344.3186;8;D0;07;B7;01;1F;FF;F8;FF;0.1130
CAN 1;In;0x101;74;344.4308;8;E1;07;54;05;98;FF;70;40;0.1131
CAN 1;In;0x201;74;344.4314;8;E1;07;C8;FF;15;FF;E2;FF;0.1128
CAN 1;In;0x101;75;344.5438;8;D0;07;3C;05;A0;FF;D8;40;0.1130
CAN 1;In;0x201;75;344.5448;8;D0;07;B8;02;0D;FF;E1;FF;0.1134
CAN 1;In;0x101;76;344.6569;8;E1;07;C8;04;64;FF;20;41;0.1131
CAN 1;In;0x201;76;344.6577;8;E1;07;82;00;17;FF;F1;FF;0.1129
CAN 1;In;0x101;77;344.7699;8;40;08;88;05;80;FF;10;41;0.1130
CAN 1;In;0x201;77;344.7703;8;40;08;D5;FF;11;FF;E5;FF;0.1127
CAN 1;In;0x101;78;344.8829;8;31;09;40;05;7C;FF;14;41;0.1129
CAN 1;In;0x201;78;344.8834;8;31;09;3A;01;0C;FF;F3;FF;0.1131
