ID;Sensor 1;Sensor 2;Sensor 3;Sensor 4
0x101;3313;1324;-372;16624
0x201;3313;167;-248;-6
0x101;3313;1344;-312;16488
0x201;3313;176;-232;-18
0x101;3312;1304;-468;16724
0x201;3312;159;-227;-21
0x101;3313;1300;-356;16568
0x201;3313;113;-254;-11
0x101;3313;1436;-444;16584
0x201;3313;52;-233;-15
0x101;3313;1344;-360;16656
0x201;3313;119;-243;-16
0x101;3313;1396;-432;16648
0x201;3313;32;-230;-44
0x101;3313;1272;-428;16592
0x201;3313;143;-243;-19
0x201;3313;103;-215;-13
0x101;3313;1328;-424;16624
0x201;3313;119;-237;-22
0x101;3313;1408;-320;16588
0x201;3313;133;-248;-28
0x101;3313;1248;-340;16600
0x101;3328;1392;-484;16648
0x201;3328;196;-229;-13
0x101;3313;1340;-344;16588
0x201;3313;182;-256;-23
0x201;3329;118;-247;-18
0x101;3329;1156;-384;16596
0x101;3313;1280;-456;16596
0x201;3313;186;-243;-9
0x101;3313;1276;-368;16604
0x201;3313;188;-244;-23
0x101;3329;1300;-364;16556
0x201;3329;167;-238;-10
0x101;3312;1312;-328;16580
0x201;3312;148;-248;-9
0x101;3328;1192;-416;16596
0x201;3328;146;-237;-16
0x101;3312;1208;-360;16652
0x201;3312;167;-222;-15
0x101;3313;1372;-388;16476
0x201;3313;195;-237;-1
0x101;3312;1300;-428;16564
0x201;3312;121;-234;-21
0x101;3313;1352;-428;16584
0x201;3313;148;-235;-25
0x101;3313;1212;-408;16584
0x201;3313;166;-215;-21
0x101;3329;1308;-452;16684
0x201;3329;172;-235;-26
0x101;3313;1244;-412;16588
0x201;3313;174;-235;1
0x101;3329;1384;-476;16644
0x201;3329;151;-232;-39
0x201;3313;165;-233;-15
0x101;3313;1352;-336;16648
0x101;3313;1184;-428;16676
0x201;3313;182;-246;-14
0x101;3313;1356;-376;16536
0x201;3313;179;-233;5
0x101;3329;1296;-460;16716
0x201;3329;137;-233;-10
0x201;3313;141;-229;-15
0x101;3313;1356;-488;16468
0x101;3313;1360;-380;16720
0x201;3313;170;-223;-12
0x101;3312;1360;-468;16572
0x201;3312;169;-238;-22
0x101;3312;1292;-376;16484
0x201;3312;182;-242;-27
0x101;3313;1312;-448;16764
0x201;3313;189;-238;7
0x101;3313;1364;-516;16628
0x201;3313;163;-235;-28
0x101;3329;1236;-448;16508
0x201;3329;154;-243;-6
0x101;3328;1324;-468;16576
0x201;3328;168;-236;-25
0x101;3313;1280;-372;16692
0x201;3313;142;-211;-18
0x101;3312;1364;-396;16540
0x201;3312;147;-231;-5
0x101;3312;1248;-504;16704
0x201;3312;129;-244;-24
0x101;3313;1308;-460;16612
0x201;3313;164;-220;-18
0x101;3313;1224;-484;16520
0x201;3313;168;-220;-18
0x101;3312;1300;-408;16532
0x201;3312;153;-212;-25
0x101;3312;1376;-448;16588
0x201;3312;157;-241;-16
0x101;3312;1328;-420;16736
0x201;3312;250;-227;-6
0x101;3312;1236;-432;16828
0x201;3312;-699;-241;-28
0x101;3328;1336;-384;16816
0x201;3328;-217;-247;-17
0x201;3329;92;-225;-33
0x101;3329;1252;-416;16580
0x101;3312;1236;-408;16428
0x201;3312;110;-223;-14
0x101;3328;1260;-600;16560
0x201;3328;208;-239;-24
0x101;3328;1312;-372;16512
0x201;3328;128;-230;-15
0x101;3328;1204;-412;16636
0x201;3328;181;-245;-5
0x101;3313;1344;-528;16496
0x201;3313;177;-236;-17
0x101;3313;1300;-464;16536
0x201;3313;170;-244;-22
0x101;3312;1260;-380;16656
0x201;3312;176;-220;-1
0x101;3312;1204;-352;16612
0x201;3312;201;-230;-16
0x101;3329;1316;-412;16560
0x201;3329;140;-219;2
0x101;3313;1176;-400;16612
0x201;3313;135;-250;-23
0x101;3313;1236;-520;16588
0x201;3313;112;-235;-1
0x101;3313;1280;-440;16620
0x201;3313;167;-250;-9
0x101;3312;1264;-496;16692
0x201;3312;169;-231;3
0x101;3328;1248;-380;16656
0x201;3328;155;-216;-26
